date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-05-27,social-media-marketing-plus-one,01-the-boundary,3123,7,0,yes,0,no,"Pattern vs judgment distinction with automation-complacency literature",1
2026-05-27,social-media-marketing-plus-one,02-the-framework,4156,5,0,yes,0,no,"Delegate List / Guard List / Do-This / Never-Do anatomy",2
2026-05-27,social-media-marketing-plus-one,03-content-creation,4287,6,0,yes,0,no,"Doshi-Hauser homogenization: AI flattens voice variance",0
2026-05-27,social-media-marketing-plus-one,04-community-management,3269,8,4,yes,0,no,"Parasocial trust and brand-community theory; automated reply as relationship cost",2
2026-05-27,social-media-marketing-plus-one,05-analytics-and-reporting,3613,9,5,yes,0,no,"Pearl's ladder of causation: AI lives at association layer; humans operate intervention/counterfactual",0
2026-05-27,social-media-marketing-plus-one,06-paid-social-and-ad-creative,3979,11,6,yes,0,no,"Binet-Field 60/40 brand-vs-activation; Lewis-Rao ad-measurement skepticism",0
2026-05-27,social-media-marketing-plus-one,07-influencer-and-partnership,3261,9,1,yes,0,no,"FTC 16 CFR Part 255 disclosure regime + relationship-fit judgment",0
2026-05-27,social-media-marketing-plus-one,08-crisis-and-reputation,3979,11,5,yes,0,no,"Coombs SCCT + Benoit image-repair theory under Vosoughi false-news velocity",0
2026-05-27,social-media-marketing-plus-one,09-platform-specific-execution,4585,12,9,yes,0,no,"Platform-native norms vs format-optimization; EU DSA/AI Act transparency duties",0
2026-05-27,social-media-marketing-plus-one,10-building-your-own-map,3194,10,2,yes,0,no,"Workflow audit protocol; regulated-industry calibration (FINRA/SEC/HIPAA/FDA)",0
2026-05-27,social-media-marketing-plus-one,11-what-changes-what-doesnt,3266,12,0,yes,0,no,"Capability-bound vs attribution-bound: accountability is a social fact, not a capability question",1
2026-05-27,social-media-marketing-plus-one,12-the-plus-one-practice,3440,11,2,yes,0,no,"Daily practice + implementation intentions + adoption-then-abandonment pattern",0
